"Rank","Player","Team","Positions","Best","Worst","Avg","Std Dev"
"368","Wesley Matthews","MIL","SG,SF","290","290","290.0","0.0"
"369","Khalifa Diop","CLE","C","290","290","290.0","0.0"
"370","Bryce McGowens","CHA","SG","291","291","291.0","0.0"
"371","Willy Hernangomez","NOR","C","292","292","292.0","0.0"
"372","Jalen Johnson","ATL","SF","292","292","292.0","0.0"
"373","E.J. Liddell","NOR","PF OUT","292","292","292.0","0.0"
"374","Moussa Diabate","LAC","PF","293","293","293.0","0.0"
"375","Ryan Rollins","GSW","SG","294","294","294.0","0.0"
"376","Justise Winslow","POR","PF,PG,SF DTD","295","295","295.0","0.0"
"377","Josh Minott","MIN","PF","295","295","295.0","0.0"
"378","Ismael Kamagate","DEN","C","296","296","296.0","0.0"
"379","Vince Williams Jr.","MEM","F","297","297","297.0","0.0"
"380","Kendall Brown","IND","SF","298","298","298.0","0.0"
"381","Troy Brown Jr.","LAL","SG,SF","299","299","299.0","0.0"
"382","Isaiah Mobley","CLE","F","299","299","299.0","0.0"
"383","James Bouknight","CHA","SG","300","300","300.0","0.0"
"384","Matteo Spagnolo","MIN","PG","300","300","300.0","0.0"
"385","Tyrese Martin","ATL","G","301","301","301.0","0.0"
"386","Karlo Matkovic","FA","PF FA","302","302","302.0","0.0"
"387","JD Davison","BOS","PG","303","303","303.0","0.0"
"388","Yannick Nzosa","WAS","C","304","304","304.0","0.0"
"389","Gui Santos","GSW","SF","305","305","305.0","0.0"
"390","Luke Travers","CLE","SG","306","306","306.0","0.0"
"391","Jabari Walker","POR","PF","307","307","307.0","0.0"
"392","Hugo Besson","MIL","PG","308","308","308.0","0.0"
""
""
